iter	MultiClass
217	0.9060752634
218	0.9059628958
219	0.9054435002
220	0.9052119734
221	0.9046722714
222	0.9042797569
223	0.9039052571
224	0.9033110299
225	0.9029904566
226	0.9027761469
227	0.9024554006
228	0.9021447869
229	0.9017010524
230	0.9012653602
231	0.9007867361
232	0.9004809647
233	0.900229535
234	0.8996001058
235	0.8993413459
236	0.8990432983
237	0.8986833327
238	0.8983412313
239	0.8979636823
240	0.897666422
241	0.8970798645
242	0.8966445389
243	0.8962332053
244	0.8957308037
245	0.8953002915
246	0.8946615147
247	0.8943597307
248	0.8935682754
249	0.8930860369
250	0.8924052607
251	0.8920131932
252	0.8914764573
253	0.8911909837
254	0.8907088847
255	0.8904860638
256	0.8902205484
257	0.8898682847
258	0.8896089225
259	0.8893285062
260	0.8890444981
261	0.8885716141
262	0.8880274056
263	0.8877298179
264	0.8874323984
265	0.8871828458
266	0.8868009066
267	0.8864982535
268	0.8862165548
269	0.8857660812
270	0.8852554556
271	0.884876259
272	0.8845889688
273	0.8841669962
274	0.8838580136
275	0.8835489376
276	0.8832662491
277	0.8826503633
278	0.8823219708
279	0.8819231048
280	0.8815368021
281	0.8812344384
282	0.8809248833
283	0.8806160408
284	0.8801815939
285	0.879738143
286	0.8792499036
287	0.8788999479
288	0.8786250863
289	0.8784545711
290	0.8783629739
291	0.8779018143
292	0.8774979712
293	0.8771883544
294	0.876814766
295	0.8764411196
296	0.8761932617
297	0.8756426546
298	0.8753318468
299	0.8751003587
300	0.8749595014
301	0.8746502698
302	0.8744847262
303	0.8739935669
304	0.8737221018
305	0.873260769
306	0.8727083717
307	0.8722707475
308	0.8717642871
309	0.8714047899
310	0.8711427215
311	0.8706261505
312	0.8699882384
313	0.8695481097
314	0.8690004993
315	0.868658822
316	0.868378469
317	0.8679660986
318	0.8676313835
319	0.8671242977
320	0.8667454852
321	0.8661004276
322	0.8656071619
323	0.8654486932
324	0.8650406842
325	0.8647793197
326	0.8645386338
327	0.8640786877
328	0.8637890697
329	0.8632895038
330	0.8631320039
331	0.8625422575
332	0.8623969357
333	0.8618519894
334	0.8613441066
335	0.8609982823
336	0.8603711736
337	0.8602057448
338	0.8599620476
339	0.8598055321
340	0.8593091562
341	0.8587727947
342	0.8584846094
343	0.8580497202
344	0.8575553901
345	0.8571481397
346	0.8568546928
347	0.8563912618
348	0.8559461044
349	0.8554958527
350	0.8551870791
351	0.8550370194
352	0.8546608739
353	0.8544731739
354	0.8541484695
355	0.8537628355
356	0.8535083344
357	0.8532925068
358	0.8529126198
359	0.8525870647
360	0.8522019153
361	0.8517093983
362	0.8514007284
363	0.8508550438
364	0.8504990085
365	0.8501556633
366	0.8499638175
367	0.8493618721
368	0.8490097855
369	0.8485984623
370	0.8484240746
371	0.8480590253
372	0.8476451251
373	0.847339853
374	0.8470667259
375	0.8468611617
376	0.8462193172
377	0.845768751
378	0.8453508303
379	0.8448169514
380	0.8445385353
381	0.8441967263
382	0.8437955664
383	0.8433778008
384	0.8429638456
385	0.8428127346
386	0.8423219623
387	0.8419938668
388	0.8416411062
389	0.8411379359
390	0.8407040292
391	0.8404820316
392	0.8401606413
393	0.8399313309
394	0.8397216167
395	0.8394426172
396	0.839037348
397	0.8385177684
398	0.8382256931
399	0.8380219818
400	0.8376687712
401	0.837126454
402	0.8367215028
403	0.8364526679
404	0.8361059052
405	0.8358477038
406	0.8357212654
407	0.8353921463
408	0.8349152524
409	0.834449268
410	0.8340241051
411	0.8336856777
412	0.833489538
413	0.8331344758
414	0.8327881501
415	0.8326044108
416	0.8325025729
417	0.8322497633
418	0.8319643801
419	0.8314374845
420	0.8312182689
421	0.8309631315
422	0.8306480068
423	0.8302344909
424	0.8300618335
425	0.8296977783
426	0.8293678831
427	0.8290690508
428	0.8288257676
429	0.8285794053
430	0.8279806537
431	0.8276593146
432	0.8272690774
433	0.8269429144
434	0.8265117466
435	0.8262687171
436	0.8259305512
437	0.8252804035
438	0.824982134
439	0.8247679681
440	0.824581901
441	0.8243275726
442	0.8241642108
443	0.8238568948
444	0.8233640574
445	0.8231038474
446	0.822747619
447	0.822280832
448	0.8219643925
449	0.8216142827
450	0.8213706298
451	0.8209420982
452	0.8206737721
453	0.8203518175
454	0.8201696513
455	0.8199591504
456	0.8194547167
457	0.8189317404
458	0.8187525642
459	0.8184198452
460	0.818051149
461	0.8176021683
462	0.8171734958
463	0.8167268717
464	0.8162671465
465	0.8159148227
466	0.8156613069
467	0.81532882
468	0.8148698307
469	0.8144723283
470	0.8139809497
471	0.8138304195
472	0.8135537876
473	0.8132331364
474	0.812958896
475	0.8125873189
476	0.8122581001
477	0.8118745307
478	0.8114862964
479	0.8112387512
480	0.810871227
481	0.8105462335
482	0.8102739656
483	0.8099962241
484	0.8095909217
485	0.809301513
486	0.8089901386
487	0.8085573116
488	0.8080810751
489	0.8075438272
490	0.8071527992
491	0.8064966392
492	0.8063283604
493	0.8057649545
494	0.8053701482
495	0.8051444859
496	0.8047045801
497	0.8043186053
498	0.8039775352
499	0.8036855275
